SKU,Launch Year,SKUs Recently Added,CategoryID,ProductID,RootModelNumber,Category,Product,Configuration,CurrentMinRetailerPrice,CurrentAvgRetailerPrice,CurrentMaxRetailerPrice,Online Price Quartile,Retailer Price Quartile,Online Price Range,Brand,Series,Standard Color,Capacity Range,Width (Approx.),Built-in Water Heater,Energy Rating,Motor Speeds,Stackable,Steam Cycle,Maximum RPM,CEE Tier,Wash Basket Material,Number Wash Cycles,Derivative Model,Model Status,Wifi Connected,Capacity (cu ft),ADA Compliant,Cold Optimized,Agitator or Impeller,Commercial (Yes/No),Detergent Dispenser,Fabric Softener Dispenser,Bleach Dispenser,POD Dispenser,Auto Dose Dispenser,Description,Key Feature,Key Feature1,Key Feature2,Key Feature3,Key Feature4,Key Feature5,Additional Features1,Additional Features2,Additional Features3,Additional Features4,Additional Features5,Additional Features6,Additional Features7,Additional Features8,Additional Features9,Additional Features10,Additional Features11,Additional Features12,Additional Features13,Additional Features14,Additional Features15,Color Description,Width,Height,Depth,Additional Dimensions1,Additional Dimensions2,Additional Dimensions3,Appearance1,Appearance2,Appearance3,Appearance4,Appearance5,Appearance6,Appearance7,Appearance8,Appearance9,Appearance10,Appearance11,Capacity1,Capacity2,Controls1,Controls2,Controls3,Controls4,Controls5,Controls6,Controls7,Controls8,Controls9,Controls10,Convenience Features1,Convenience Features2,Convenience Features3,Convenience Features4,Convenience Features5,Convenience Features6,Convenience Features7,Convenience Features8,Convenience Features9,Convenience Features10,Convenience Features11,Convenience Features12,Convenience Features13,Convenience Features14,Convenience Features15,Convenience Features16,Convenience Features17,Dimensions1,Dimensions2,Energy/Sound/Power1,Energy/Sound/Power2,Energy/Sound/Power3,Energy/Sound/Power4,Energy/Sound/Power5,Energy/Sound/Power6,Energy/Sound/Power7,Energy/Sound/Power8,Wash Cycles1,Wash Cycles2,Wash Cycles3,Wash Cycles4,Wash Cycles5,Wash Cycles6,Wash Cycles7,Wash Cycles8,Wash Cycles9,Wash Cycles10,Wash Cycles11,Wash Cycles12,Wash Cycles13,Wash Cycles14,Wash Cycles15,Wash Cycles16,Wash Cycles17,Wash Cycles18,Wash Cycles19,Wash Cycles20,Wash Cycles21,Wash Cycles22,Wash Cycles23,Wash Cycles24,Wash Cycles25,Wash Cycles26,Wash Cycles27,Wash Cycles28,Wash Cycles29,Wash Cycles30,Wash Cycles31,Wash Cycles32,Wash Cycles33,Wash Cycles34,Wash Cycles35,Wash Cycles36,Wash Cycles37,Wash Cycles38,Wash Cycles39,Wash Cycles40,Wash Cycles41,Washing System1,Washing System2,Washing System3,Washing System4,Washing System5,Washing System6,Washing System7,Washing System8,Washing System9,Washing System10,Washing System11,Washing System12,Washing System13,Washing System14,Washing System15,Washing System16
tr7003wn,2023,5/8/2023,1,12,,Laundry,Washers,Top Load,1429,1429,1430,,High - 75% & Above,,Speed Queen,,White,3.1 to 3.5 cu ft,26,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,14 or More,,Active Model,No,3.2,Unassigned,No,Agitator,Yes,No,Yes,No,No,No,26 Inch Top Load Washer with 3.2 cu. ft. Capacity,,16 Wash Cycles w/ 4 Temperatures,Speed Queen Perfect Wash™,Speed Cycle,,43 dB Quiet Agitation,Rear Self-Leveling Legs,,,,,,,,,,,,,,,White,,,,,,,Stainless Steel Wash Tub,,,,,,,,,,,3.2 Cu Ft Capacity,,Rear Control Panel,,,,,,,,,,Delay Start,,,,,,,,,,,,,,,,,"42 3/4"" H x 28"" D x 25 5/8"" W",,Electric Washer,,,,,,,,Speed Wash Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Soil Levels,,,,,,,,,,,,,,,
vtw525asrwb,2023,10/23/2023,1,12,,Laundry,Washers,Top Load,1299,1299,1299,,High - 75% & Above,,GE,,White,3.6 to 4.2 cu ft,27,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,,Active Model,Yes,4.2,Unassigned,No,Agitator,Yes,No,No,No,No,No,4.2 cu. ft. White Commercial Top Load Washer with Stainless Stee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wa40a3005aw,2021,3/10/2021,1,12,,Laundry,Washers,HE Top Load Washers,528,529,530,,Low - 25% & Below,,Samsung,,White,3.6 to 4.2 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4,No,No,Agitator,No,No,Yes,No,No,No,4.0 cu ft Top Load Washer,,8 Wash Cycles with 3 Options,,,700 RPM Maximum Spin Speed,,Optional - Matching Gas Dryer (DVG41A3000W),,,,,,,,,,,,,,,Neat White,27 inches,44 inches,29 5/16 inches,"27"" Minimum Width",,,,Rear Control Panel,Soft Close Lid,Solid Door,Top Load Design,White Finish,,,,,,4.0 Cu Ft Capacity,,Dial Control,,,,,,,,,,,Child Lock,Door Safety Lock,End of Cycle Signal,Fabric Softener Dispenser,,,,,,,,,,,,,"44"" H x 29 5/16"" D x 27"" W",,,240 kWh/Yr,,,,,,,8 Wash Cycles with 3 Options,Bedding / Waterproof Cycle,,Delicates Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Wash Cycle,Quick Wash Cycle,Rinse & Spin Cycle,Self Clean Cycle,Spin Only Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Temperature Levels,5 Water Level Options,,AC Motor,ActiveWave™ Agitator,Extra High Water Level,Vibration Reduction Technology+,,,,,,,,,
wa41a3000aw,2021,3/10/2021,1,12,,Laundry,Washers,HE Top Load Washers,528,528,529,,Low - 25% & Below,,Samsung,,White,3.6 to 4.2 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4.1,No,No,Impeller,No,No,Yes,No,No,No,4.1 cu ft Top Load Washer,,8 Wash Cycles with 3 Options,,,700 RPM Maximum Spin Speed,,Optional - Matching Gas Dryer (DVG41A3000W),,,,,,,,,,,,,,,Neat White,27 inches,44 inches,29 5/16 inches,"27"" Minimum Width",,,,Rear Control Panel,Soft Close Lid,Solid Door,Top Load Design,White Finish,,,,,,4.1 Cu Ft Capacity,,Dial Control,,,,,,,,,,,Child Lock,Door Safety Lock,End of Cycle Signal,Fabric Softener Dispenser,,,,,,,,,,,,,"44"" H x 29 5/16"" D x 27"" W",,,240 kWh/Yr,,,,,,,8 Wash Cycles with 3 Options,Bedding / Waterproof Cycle,,Extra Rinse Option,Heavy Duty Cycle,Normal Wash Cycle,Quick Wash Cycle,Rinse & Spin Cycle,Self Clean Cycle,Spin Only Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Temperature Levels,5 Water Level Options,,AC Motor,Extra High Water Level,Vibration Reduction Technology+,Impeller,,,,,,,,,
wa44a3205aw,2021,3/10/2021,1,12,,Laundry,Washers,HE Top Load Washers,577,579,580,,Low - 25% & Below,,Samsung,,White,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4.4,No,No,Agitator,No,No,Yes,No,No,No,4.4 cu ft Top Load Washer,,,,ActiveWave™ Agitator,700 RPM Maximum Spin Speed,,Optional - Matching Gas Dryer (DVG45T3200W),,,,,,,,,,,,,,,Neat White,27 inches,44 inches,29 3/10 inches,"27"" Minimum Width",,,,Rear Control Panel,Soft Close Lid,Solid Door,Top Load Design,White Finish,,,,,,4.4 Cu Ft Capacity,,Dial Control,,,,,,,,,,,Child Lock,Door Safety Lock,End of Cycle Signal,Fabric Softener Dispenser,Main Wash Dispenser,Smart Care Technology,,,,,,,,,,,"44"" H x 29 3/10"" D x 27"" W",,,240 kWh/Yr,,,,,,,8 Wash Cycles with 4 Options,Bedding / Waterproof Cycle,,Delicates Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Wash Cycle,Quick Wash Cycle,Rinse & Spin Cycle,Self Clean Cycle,Spin Only Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Temperature Levels,5 Water Level Options,,AC Motor,ActiveWave™ Agitator,Extra High Water Level,Vibration Reduction Technology+,,,,,,,,,
wa45n3050aw,2018,8/28/2018,1,12,WA45N3050A,Laundry,Washers,Top Load,499,499,499,,Low - 25% & Below,,Samsung,,White,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4.5,No,No,Impeller,No,Yes,Yes,No,No,No,4.5 cu ft Top Load Washer,8 Wash Cycles with 3 Options,,,700 RPM Maximum Spin Speed,Red LED Indicators,,,Optional Gas Dryer - DV40J3000GW,,,,,,,,,,,,,,Neat White,27 inches,44 inches,29 5/16 inches,"27"" Minimum Width",,,,Soft Close Lid,Top Load Design,White Finish,,,,,,,,4.5 Cu Ft Capacity,,Red LED Console Display,,,,,,,,,,,Child Lock,Detergent Dispenser,Fabric Softener Dispenser,,,,,,,,,,,,,,"44"" H x 29 5/16"" D x 27"" W",,250 kWh/Yr,,,,,,,,8 Wash Cycles w/ 3 Options,Bedding / Waterproof Cycle,,Delicates / Hand Wash Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Wash Cycle,Quick Wash Cycle,Rinse + Spin Cycle,Self Clean Cycle,Spin Only Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Temp Settings - Hot, Warm, Eco Warm, Cool, Cold",5 Water Level Options,,Impeller,,,,,,,,,,,,
wa45t3200aw,2020,8/17/2020,1,12,WA45T3200A,Laundry,Washers,Top Load,578,579,580,,Low - 25% & Below,,Samsung,,White,4.3 to 4.9 cu ft,29,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4.5,No,No,Impeller,No,No,Yes,No,No,No,4.5 cu ft Top Load Washer,,8 Wash Cycles with 4 Options,,,700 RPM Maximum Spin Speed,,,,Smart Care Technology,,,,,,,,,,,,,Neat White,27 inches,44 inches,29 3/10 inches,"30"" Minimum Width",,,,Rear Control Panel,Soft Close Lid,Tint Glass Door,Top Load Design,White Finish,,,,,,4.5 Cu Ft Capacity,,,Remaining Time Display,,,,,,,,,,Child Lock,Door Safety Lock,End of Cycle Signal,Fabric Softener Dispenser,Main Wash Dispenser,,,,,,,,,,,,"44"" H x 29 3/10"" D x 27"" W",,,240 kWh/Yr,,,,,,,8 Wash Cycles with 4 Options,Bedding / Waterproof Cycle,,Delicates Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Cycle,Quick Wash Cycle,Rinse + Spin Cycle,Self Clean Cycle,Smart Care Option,Spin Only Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Soil Levels - Light, Normal, Heavy","5 Temp Levels - Hot, Warmer, Warm, Cool, Cold",5 Water Level Options,,Impeller,,,,,,,,,,,
wa45t3400ap,2021,3/10/2021,1,12,,Laundry,Washers,HE Top Load Washers,999,999,999,,High/Mid - 50% to 75%,,Samsung,,Stainless,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,4.5,No,No,Impeller,No,Yes,Yes,Yes,No,No,4.5 cu ft Top Load Washer,,10 Wash Cycles with 6 Options,Active WaterJet,Vibration Reduction Technology+,,,Optional - Matching Gas Dryer (DVG45T3400P),,,,,,,,,,,,,,,Stainless Platinum,27 inches,44 inches,29 5/16 inches,"27"" Minimum Width",,,,Platinum Finish,Rear Control Panel,Soft Close Lid,Tint Glass Door,Top Load Design,,,,,,4.5 Cu Ft Capacity,,Dial Control,,Remaining Time Display,,,,,,,,,"Detergent, Bleach & Fabric Softener Dispensers",Door Safety Lock,End of Cycle Signal,Smart Care Technology,Sound On/Off,,,,,,,,,,,,"44"" H x 29 5/16"" D x 27"" W",,,240 kWh/Yr,,,,,,,10 Wash Cycles w/ 6 Options,Bedding / Waterproof Cycle,,Delay End Option,Delicates Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Wash Cycle,Permanent Press Cycle,Pre-Soak Option,Quick Wash Cycle,Rinse and Spin Cycle,Self Clean Cycle,Spin Only Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Temp Settings - Hot, Warmer, Warm, Cool, Cold",5 Water Level Options,700 RPM Maximum Spin Speed,AC Motor,Active WaterJet,Self Clean Technology,Vibration Reduction Technology+,Impeller,,,,,,,
wa46cg3505av,2023,7/17/2023,1,12,,Laundry,Washers,Top Load,648,649,650,,Low - 25% & Below,,Samsung,,Black,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,Yes,4.6,Unassigned,Yes,Agitator,No,Yes,Yes,No,No,No,4.6 cu.ft. Large Capacity Smart Top Load Washer with ActiveWave,,15 Wash Cycles with 7 Options,ActiveWave™ Agitator,Vibration Reduction Technology+,,Wi-Fi Connectivity,Optional - Matching Gas Dryer (DVG47CG3500V),,,,,,,,,,,,,,,Brushed Black,,,,"27"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,4.6 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45 1/16"" H x 29 5/16"" D x 27"" W",,"120V, 60 Hz, 15 Amps",,,,,,,,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,ActiveWave™ Agitator,,,,,,,,,,,,,,
wa46cg3505aw,2023,7/17/2023,1,12,,Laundry,Washers,Top Load,648,649,650,,Low - 25% & Below,,Samsung,,White,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,Yes,4.6,Unassigned,Yes,Agitator,No,Yes,Yes,No,No,No,4.6 cu.ft. Large Capacity Smart Top Load Washer with ActiveWave,,15 Wash Cycles with 7 Options,ActiveWave™ Agitator,Vibration Reduction Technology+,,Wi-Fi Connectivity,Optional - Matching Gas Dryer (DVG47CG3500W),,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,4.6 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45 1/16"" H x 29 5/16"" D x 27"" W",,"120V, 60 Hz, 15 Amps",,,,,,,,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,ActiveWave™ Agitator,,,,,,,,,,,,,,
wa47cg3500av,2023,7/17/2023,1,12,,Laundry,Washers,Top Load,647,648,649,,Low - 25% & Below,,Samsung,,Black,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,Yes,4.7,Unassigned,Yes,Impeller,No,Yes,Yes,No,No,No,4.7 cu.ft. Large Capacity Smart Top Load Washer with Active Wate,,15 Wash Cycles with 7 Options,Active Water Jet,Vibration Reduction Technology+,,Wi-Fi Connectivity,Optional - Matching Gas Dryer (DVG47CG3500V),,,,,,,,,,,,,,,Brushed Black,,,,"27"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,4.7 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45"" H x 29 1/2"" D x 27"" W",,"120V, 60 Hz, 15 Amps",,,,,,,,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,,,,,,,,,,,,,,,
wa47cg3500aw,2023,7/17/2023,1,12,,Laundry,Washers,Top Load,648,648,649,,Low - 25% & Below,,Samsung,,White,4.3 to 4.9 cu ft,27,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,Yes,4.7,Unassigned,Yes,Impeller,No,Yes,Yes,No,No,No,4.7 cu.ft. Large Capacity Smart Top Load Washer with Active Wate,,15 Wash Cycles with 7 Options,Active Water Jet,Vibration Reduction Technology+,,Wi-Fi Connectivity,Optional - Matching Gas Dryer (DVG47CG3500W),,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,4.7 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45"" H x 29 1/2"" D x 27"" W",,"120V, 60 Hz, 15 Amps",,,,,,,,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,,,,,,,,,,,,,,,
wa49b5105av,2022,8/17/2022,1,12,,Laundry,Washers,HE Top Load Washers,999,999,999,,High/Mid - 50% to 75%,,Samsung,,Black,4.3 to 4.9 cu ft,28,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,No,4.9,No,No,Agitator,No,Yes,Yes,No,No,No,4.9 cu ft Large Capacity Top Load Washer in Brushed Black with A,,,ActiveWave™ Agitator,Deep Fill,Self Clean,Smart Care,,,,,,,,,,,,,,,,Brushed Black,,,,"27 1/2"" Minimum Opening (Width)",,,EZ Access Tub Design,,,,,,,,,,,4.9 Cu Ft Capacity,,Red LED Display,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"46 3/16"" H x 29 7/16"" D x 27 1/2"" W",,140 kWh per Year Energy Consumption,,,,,,,,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Temperature Selections,ActiveWave™ Agitator,,,,,,,,,,,,,,
wa49b5205aw,2022,1/10/2022,1,12,,Laundry,Washers,Top Load,808,839,899,,High/Mid - 50% to 75%,,Samsung,,White,4.3 to 4.9 cu ft,Reviewed - Unsure,No,Energy Star®,Unassigned,No,No,1200 to 1299,Unassigned,Reviewed - Unsure,14 or More,No,Active Model,No,4.9,No,No,Agitator,No,Yes,Yes,No,No,No,4.9 cu ft Top Load Washer,,15 Wash Cycles,ActiveWave™ Agitator,Stainless Steel Stub,,,,,,,,,,,,,,,,,,Neat White,,,,,,,White Finish,,,,,,,,,,,4.9 Cu Ft Capacity,,,,,,,,,,,,Detergent Dispenser,,,,,,,,,,,,,,,,,"38"" H x 30"" D x 25"" W",,120V,,,,,,,,15 Wash Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Spin Speeds,ActiveWave™ Agitator,,,,,,,,,,,,,,
wa50r5200aw,2019,4/22/2019,1,12,WA50R5200A,Laundry,Washers,Top Load,570,778,899,,Low/Mid - 25% to 50%,,Samsung,,White,5.0 & Larger cu ft,27,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,No,Active Model,No,5,No,No,Impeller,No,Yes,Yes,No,No,No,5.0 cu ft Top Load Washer,,10 Wash Cycles with 7 Options,Active WaterJet,Energy Star®,,,,Optional Electric Dryer - DVE50R5200W,Optional Gas Dryer - DVG50R5200W,,,,,,,,,,,,,Neat White,27 9/16 inches,44 9/16 inches,29 7/16 inches,"27"" Minimum Width",,,EZ Access Tub Design,,Swirl+ Drum Interior,Top Load Design,Transparent Curved Glass Lid,White Finish,,,,,,5.0 Cu Ft Capacity,,Ice Blue LED Display,,,,,,,,,,Alarm Off,,Child Lock,Delay End,EZ Drawer Dispenser,Fabric Softener Dispenser,Main Wash Dispenser,Softener Dispenser,,,,,,,,,,"44 9/16"" H x 29 7/16"" D x 27 9/16"" W",,,Energy Star®,,,,,,,10 Wash Cycles w/ 7 Options,,Deep Fill Option,Delay End Option,Delicates / Hand Wash Cycle,Heavy Duty Cycle,Normal Wash Cycle,Permanent Press Cycle,Pre-Soak Option,Quick Wash Cycle,Rinse & Spin Cycle,Self Clean Cycle,Smart Care Option,Spin Only Cycle,Water Proof Cycle,Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Spin Speeds - High, Med High, Med, Low, No Spin","5 Temp Levels - Hot, Warmer, Warm, Cool, Cold",750 RPM Maximum Spin Speed,Active WaterJet,Deep Fill,Impeller,,,,,,,,,
wa50r5400aw,2019,4/22/2019,1,12,WA50R5400A,Laundry,Washers,Top Load,,,,,Retail Price Not Available,,Samsung,,White,5.0 & Larger cu ft,27,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,No,Active Model,No,5,No,No,Impeller,No,Yes,Yes,No,No,No,5.0 cu ft Top Load Washer,,,Active WaterJet,Energy Star®,Super Speed,,,Optional Electric Dryer - DVE50R5200W,Optional Gas Dryer - DVG50R5200W,,,,,,,,,,,,,Neat White,27 9/16 inches,44 9/16 inches,29 7/16 inches,"27"" Minimum Width",,,EZ Access Tub Design,,Soft Close Lid,Swirl+ Drum Interior,Top Load Design,White Finish,,,,,,5.0 Cu Ft Capacity,,,Control Panel Buttons,,,,,,,,,Alarm Off,,Child Lock,Delay End,EZ Drawer Dispenser,Fabric Softener Dispenser,Main Wash Dispenser,Softener Dispenser,,,,,,,,,,"44 9/16"" H x 29 7/16"" D x 27 9/16"" W",,,Energy Star®,,,,,,,12 Wash Cycles with 8 Options,,Bedding Cycle,Darks Cycle,Deep Fill Option,Delay End Option,Delicates / Hand Wash Cycle,Heavy Duty Cycle,Normal Wash Cycle,Permanent Press Cycle,Pre-Soak Option,Quick Wash Cycle,Rinse & Spin Cycle,Self Clean Cycle,Smart Care Option,Spin Only Cycle,Super Speed Option,Water Proof Cycle,Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,,"5 Spin Speeds - High, Med High, Med, Low, No Spin","5 Temp Levels - Hot, Warmer, Warm, Cool, Cold",750 RPM Maximum Spin Speed,Active WaterJet,Deep Fill,Impeller,,,,,,,,,
wa51dg5505aw,2024,6/9/2024,1,12,,Laundry,Washers,Top Load,698,699,700,,Low/Mid - 25% to 50%,,Samsung,,White,5.0 & Larger cu ft,28,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,,Active Model,Yes,5.1,Unassigned,No,Agitator,No,No,No,Yes,No,No,5.1 cu. ft. Large Capacity Smart Top Load Washer with ActiveWave,,12 Wash Cycles with 10 Options,ActiveWave™ Agitator,Energy Star® Certified,SuperSpeed Wash Cycle,Wi-Fi Connectivity,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Reversible Door,,,,,,,,,,,5.1 Cu Ft Capacity,,Ice Blue LED Display,,,,,,,,,,Bleach Dispenser,,,,,,,,,,,,,,,,,"44 3/5"" H x 29 2/5"" D x 27 1/2"" W",,120 kWh per Year Energy Consumption,,,,,,,,12 Wash Cycles with 10 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Soil Levels,Agitator,,,,,,,,,,,,,,
wa52dg5500av,2024,5/8/2024,1,12,,Laundry,Washers,Top Load,698,698,698,,Low/Mid - 25% to 50%,,Samsung,,Black,5.0 & Larger cu ft,28,Yes,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,,Active Model,Yes,5.2,Unassigned,No,Impeller,No,No,No,Yes,No,No,5.2 cu. ft. Large Capacity Smart Top Load Washer with Super Spee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wa52dg5500aw,2024,4/9/2024,1,12,,Laundry,Washers,Top Load,698,699,700,,Low/Mid - 25% to 50%,,Samsung,,White,5.0 & Larger cu ft,28,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,,Active Model,Yes,5.2,Unassigned,No,Impeller,No,No,No,Yes,No,No,5.2 cu. ft. Large Capacity Smart Top Load Washer with Super Spee,,12 Wash Cycles with 10 Options,Active Water Jet,Energy Star® Certified,SuperSpeed Wash Cycle,Wi-Fi Connectivity,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Reversible Door,,,,,,,,,,,5.2 Cu Ft Capacity,,Ice Blue LED Display,,,,,,,,,,Bleach Dispenser,,,,,,,,,,,,,,,,,"44 3/5"" H x 29 2/5"" D x 27 1/2"" W",,120 kWh per Year Energy Consumption,,,,,,,,12 Wash Cycles with 10 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Soil Levels,,,,,,,,,,,,,,,
wa54cg7105av,2023,9/1/2023,1,12,,Laundry,Washers,HE Top Load Washers,748,749,750,,Low/Mid - 25% to 50%,,Samsung,,Black,5.0 & Larger cu ft,28,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,,Active Model,Yes,5.4,No,Yes,Agitator,No,Yes,Yes,No,No,No,5.4 cu. ft. High-Efficiency Smart Top Load Washer with ActiveWav,,17 Wash Cycles with 10 Options,ActiveWave™ Agitator,Energy Star® Certified,SuperSpeed Wash Cycle,,Optional - Matching Gas Dryer (DVG55CG7100V),,,,,,,,,,,,,,,Brushed Black,,,,"27"" Minimum Opening (Width)",,,Brushed Black Finish,,,,,,,,,,,5.4 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45 4/5"" H x 29 2/5"" D x 27 1/2"" W",,120 kWh per Year Energy Consumption,,,,,,,,Deep Wash Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,ActiveWave™ Agitator,,,,,,,,,,,,,,
wa54cg7105aw,2023,9/1/2023,1,12,,Laundry,Washers,HE Top Load Washers,748,749,750,,Low/Mid - 25% to 50%,,Samsung,,White,5.0 & Larger cu ft,28,No,Energy Star®,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,11 to 13,,Active Model,Yes,5.4,No,Yes,Agitator,No,Yes,Yes,No,No,No,5.4 cu. ft. High-Efficiency Smart Top Load Washer with ActiveWav,,17 Wash Cycles with 10 Options,ActiveWave™ Agitator,Energy Star® Certified,SuperSpeed Wash Cycle,,Optional - Matching Gas Dryer (DVG55CG7100W),,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,White Finish,,,,,,,,,,,5.4 Cu Ft Capacity,,Dial Control,,,,,,,,,,Child Lock,,,,,,,,,,,,,,,,,"45 4/5"" H x 29 2/5"" D x 27 1/2"" W",,120 kWh per Year Energy Consumption,,,,,,,,Deep Wash Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Water Levels,ActiveWave™ Agitator,,,,,,,,,,,,,,
